model,dimension,Precision 1,Precision 3,Precision 5,Precision 10,Recall 1,Recall 3,Recall 5,Recall 10,MRR 20,NDCG 20
SASRec,28,0.745098039,0.367880486,0.290196078,0.22605042,0.399805408,0.499401571,0.597518355,0.826510954,0.799846605,0.769914012
SASRec,56,0.710462287,0.351987024,0.257420925,0.177858881,0.290901658,0.376593501,0.418658318,0.511460275,0.794028958,0.740029278
SASRec,70,0.490654206,0.338006231,0.245327103,0.164719626,0.18672823,0.330837175,0.380521942,0.449482296,0.668085334,0.678208688
TiSASRec,28,0.719887955,0.391223156,0.296358543,0.232212885,0.390621633,0.521281535,0.613289278,0.841865985,0.790502798,0.771211984
TiSASRec,56,0.523114355,0.342254663,0.257420925,0.171776156,0.193935981,0.364585193,0.422566623,0.505534621,0.694681381,0.68418805
TiSASRec,70,0.51635514,0.345794393,0.240186916,0.164252336,0.19505528,0.343100871,0.373384146,0.447809725,0.688435428,0.686653314
BERT4Rec,28,0.731092437,0.377217554,0.305322129,0.233893557,0.39354068,0.523593571,0.628082904,0.84228386,0.807568684,0.779217475
BERT4Rec,56,0.817518248,0.432278994,0.329440389,0.228953771,0.330181789,0.438400342,0.510607188,0.624684429,0.862038643,0.793501249
BERT4Rec,70,0.827102804,0.423676012,0.321495327,0.221028037,0.311931008,0.407810949,0.466036661,0.56979189,0.866831262,0.785561198
MEANTIME,28,0.717086835,0.438842204,0.345098039,0.241456583,0.381370155,0.577659541,0.695038645,0.861844917,0.805053233,0.802579597
MEANTIME,56,0.712895377,0.414436334,0.325060827,0.232846715,0.296994977,0.424046718,0.499589887,0.628994736,0.800594613,0.761530217
MEANTIME,70,0.747663551,0.381619938,0.286448598,0.205607477,0.289197772,0.365492721,0.423225346,0.534917682,0.812464483,0.746221984
CSE,28,0.915119363,0.637488948,0.479575597,0.286472149,0.455344972,0.739711813,0.847231364,0.958971591,0.935280554,0.926012362
CSE,56,0.767942584,0.582934609,0.481339713,0.333492823,0.249792403,0.472740835,0.601201084,0.755754199,0.832074312,0.814924476
CSE,70,0.755813953,0.582170543,0.474883721,0.330930233,0.225407573,0.430227315,0.531015049,0.672217871,0.811548672,0.793052283
