model,head,Precision 1,Precision 3,Precision 5,Precision 10,Recall 1,Recall 3,Recall 5,Recall 10,MRR 20,NDCG 20
SASRec,2,0.710462287,0.354420114,0.260827251,0.177615572,0.289806768,0.377679615,0.421080788,0.512160359,0.792810482,0.740980233
SASRec,4,0.644768856,0.349553933,0.255474453,0.181021898,0.263953316,0.369040302,0.41459167,0.521230571,0.755870129,0.720145017
SASRec,7,0.710462287,0.351987024,0.257420925,0.177858881,0.290901658,0.376593501,0.418658318,0.511460275,0.794028958,0.740029278
TiSASRec,2,0.545012165,0.343065693,0.257420925,0.172749392,0.213141172,0.364287816,0.420489895,0.507346975,0.70534607,0.69360795
TiSASRec,4,0.525547445,0.343065693,0.258394161,0.172749392,0.198988698,0.363274028,0.421488085,0.50700413,0.694938208,0.686484525
TiSASRec,7,0.523114355,0.342254663,0.257420925,0.171776156,0.193935981,0.364585193,0.422566623,0.505534621,0.694681381,0.68418805
BERT4Rec,2,0.815085158,0.438767234,0.335766423,0.233819951,0.327418345,0.443309004,0.515247305,0.626724819,0.856969241,0.788201799
BERT4Rec,4,0.810218978,0.440389294,0.335279805,0.234549878,0.329664126,0.446010236,0.518589819,0.639654718,0.853854923,0.790117733
BERT4Rec,7,0.817518248,0.432278994,0.329440389,0.228953771,0.330181789,0.438400342,0.510607188,0.624684429,0.862038643,0.793501249
MEANTIME,2,0.688564477,0.395782644,0.311922141,0.229440389,0.283580303,0.402850815,0.48329891,0.624048498,0.785307367,0.749347978
MEANTIME,4,0.671532847,0.408759124,0.325547445,0.225547445,0.282188913,0.410658751,0.497392189,0.611261099,0.774458273,0.74975202
MEANTIME,7,0.712895377,0.414436334,0.325060827,0.232846715,0.296994977,0.424046718,0.499589887,0.628994736,0.800594613,0.761530217
CSE,2,0.83492823,0.616427432,0.48277512,0.330382775,0.28347311,0.502248047,0.598491637,0.741187764,0.870039129,0.836183335
CSE,4,0.827751196,0.626794258,0.500956938,0.336842105,0.27829453,0.516504571,0.625104946,0.756403367,0.869184702,0.843383242
CSE,7,0.767942584,0.582934609,0.481339713,0.333492823,0.249792403,0.472740835,0.601201084,0.755754199,0.832074312,0.814924476
